,aantal_cilinders,emissiecode_omschrijving,jaar,cilinderinhoud
510,4.0,2.0,2008,1796.4044198895028
511,4.0,2.0,2009,1847.3500619578685
512,4.0,2.0,2010,1854.2801302931596
513,4.0,2.0,2011,1927.1811023622047
514,4.0,2.0,2012,1929.1804511278197
515,4.0,2.0,2013,1924.1575562700964
516,4.0,2.0,2014,1851.4479889042996
517,4.0,2.0,2015,1839.0720390720392
518,4.0,2.0,2016,1882.1048387096773
519,4.0,2.0,2017,1913.1648793565685
520,4.0,2.0,2018,1887.7444751381215
521,4.0,2.0,2019,1887.9251700680272
522,4.0,2.0,2020,1884.608695652174
523,4.0,2.0,2021,1856.564053537285
524,4.0,2.0,2022,1873.9274376417234
525,4.0,2.0,2023,1843.3440860215053
526,4.0,4.0,1989,2495.0
527,4.0,4.0,1991,1781.0
528,4.0,4.0,1999,1873.3181818181818
529,4.0,4.0,2000,1471.2735074019847
530,4.0,4.0,2001,1505.0194876033058
531,4.0,4.0,2002,1506.2168354640544
532,4.0,4.0,2003,1551.0554259183525
533,4.0,4.0,2004,1533.6533747139408
534,4.0,4.0,2005,1503.2616510481405
535,4.0,4.0,2006,1573.5000934288385
536,4.0,4.0,2007,1710.2889485158478
537,4.0,4.0,2008,1821.1678492239469
538,4.0,4.0,2009,1804.6404286008653
539,4.0,4.0,2010,1770.2952434039391
540,4.0,4.0,2011,1782.2151898734178
541,4.0,4.0,2012,1795.7022471910113
542,4.0,4.0,2013,1735.9772431729518
543,4.0,4.0,2014,1641.8594116115594
544,4.0,4.0,2015,1653.816027689031
545,4.0,4.0,2016,1747.7965494791667
546,4.0,4.0,2017,1824.3587313160772
547,4.0,4.0,2018,1884.3520668834185
548,4.0,4.0,2019,1876.1203751954142
549,4.0,4.0,2020,1784.9796246648793
550,4.0,4.0,2021,1825.162147505423
551,4.0,4.0,2022,1899.3233532934132
552,4.0,4.0,2023,1840.04
553,4.0,4.0,1999,1984.0
554,4.0,4.0,2000,1458.9773897751538
555,4.0,4.0,2001,1483.6085999072786
556,4.0,4.0,2002,1503.178788227746
557,4.0,4.0,2003,1513.2777265155964
558,4.0,4.0,2004,1535.4833069417712
559,4.0,4.0,2005,1580.393519036954
560,4.0,4.0,2006,1566.8993493795997
561,4.0,4.0,2007,1574.391158297177
562,4.0,4.0,2008,1547.136717239165
563,4.0,4.0,2009,1535.7009009869976
564,4.0,4.0,2010,1480.2068028681028
565,4.0,4.0,2011,1696.9050626988583
566,4.0,4.0,2012,1739.4704676728154
567,4.0,4.0,2013,1636.8281529363223
568,4.0,4.0,2014,1581.3345327336333
569,4.0,4.0,2015,1564.0815889436676
570,4.0,4.0,2016,1547.2972119936876
571,4.0,4.0,2017,1551.9374761326158
572,4.0,4.0,2018,1572.403950033761
573,4.0,4.0,2019,1586.772312835579
574,4.0,4.0,2020,1595.3419411177645
575,4.0,4.0,2021,1621.1002896207988
576,4.0,4.0,2022,1648.5836567485985
577,4.0,4.0,2023,1645.3541430192963
578,4.0,5.0,2000,1834.0
579,4.0,5.0,2002,1197.0
580,4.0,5.0,2004,2290.0
581,4.0,5.0,2006,2148.0
582,4.0,5.0,2007,2092.0
583,4.0,5.0,2008,1783.992998833139
584,4.0,5.0,2009,1580.894280762565
585,4.0,5.0,2010,1514.1904513554268
586,4.0,5.0,2011,1453.5660746910853
587,4.0,5.0,2012,1481.8056187338364
588,4.0,5.0,2013,1533.4032341456448
589,4.0,5.0,2014,1525.6097979128213
590,4.0,5.0,2015,1527.6321892342148
591,4.0,5.0,2016,1585.7525008267196
592,4.0,5.0,2017,1591.915599511407
593,4.0,5.0,2018,1579.3175570941407
594,4.0,5.0,2019,1556.7626797458477
595,4.0,5.0,2020,1537.3227216990954
596,4.0,5.0,2021,1548.8597812485516
597,4.0,5.0,2022,1568.4461400694004
598,4.0,5.0,2023,1545.2255813953489
599,4.0,6.0,1969,1108.0
600,4.0,6.0,1979,1962.0
601,4.0,6.0,2007,2148.0
602,4.0,6.0,2010,1968.0
603,4.0,6.0,2011,2018.0
604,4.0,6.0,2012,1629.5325865580448
605,4.0,6.0,2013,1656.6596782302665
606,4.0,6.0,2014,1636.3232904467632
607,4.0,6.0,2015,1595.0044881717238
608,4.0,6.0,2016,1571.3032600503316
609,4.0,6.0,2017,1585.0281847413642
610,4.0,6.0,2018,1615.7891899940441
611,4.0,6.0,2019,1633.7928139348444
612,4.0,6.0,2020,1634.1018257188216
613,4.0,6.0,2021,1668.8572609245382
614,4.0,6.0,2022,1687.9780786873678
615,4.0,6.0,2023,1672.005699609471
616,5.0,0.0,1967,2319.0
617,5.0,0.0,1969,2799.5
618,5.0,0.0,1971,2833.3333333333335
619,5.0,0.0,1972,2747.5
620,5.0,0.0,1973,2797.0
621,5.0,0.0,1974,2999.285714285714
622,5.0,0.0,1975,3005.0
623,5.0,0.0,1976,2286.0
624,5.0,0.0,1977,2851.181818181818
625,5.0,0.0,1978,2830.2727272727275
626,5.0,0.0,1979,2807.0
627,5.0,0.0,1980,2896.5833333333335
628,5.0,0.0,1981,2679.75
629,5.0,0.0,1982,2766.875
630,5.0,0.0,1983,2400.086956521739
631,5.0,0.0,1984,2424.5757575757575
632,5.0,0.0,1985,2279.9758064516127
633,5.0,0.0,1986,2288.5380116959063
634,5.0,0.0,1987,2340.6992481203006
635,5.0,0.0,1988,2367.4245283018868
636,5.0,0.0,1989,2360.2719298245615
637,5.0,0.0,1990,2340.622950819672
638,5.0,0.0,1991,2380.632258064516
639,5.0,0.0,1992,2383.2123552123553
640,5.0,0.0,1993,2225.4285714285716
641,5.0,0.0,1994,2241.603773584906
642,5.0,0.0,1995,2297.3650793650795
643,5.0,0.0,1996,2379.521126760563
644,5.0,0.0,1997,2346.837837837838
645,5.0,0.0,1998,2384.813186813187
646,5.0,0.0,1999,2358.8655462184875
647,5.0,0.0,2000,2392.3522727272725
648,5.0,0.0,2001,2395.866666666667
649,5.0,0.0,2002,2372.475
650,5.0,0.0,2003,2433.846153846154
651,5.0,0.0,2004,2615.6721311475408
652,5.0,0.0,2005,2839.809090909091
653,5.0,0.0,2006,2761.1739130434785
654,5.0,0.0,2007,2778.28384279476
655,5.0,0.0,2008,2647.683035714286
656,5.0,0.0,2009,2600.1875
657,5.0,0.0,2010,2622.990291262136
658,5.0,0.0,2011,2577.1659292035397
659,5.0,0.0,2012,2562.1003344481605
660,5.0,0.0,2013,2544.7319587628867
661,5.0,0.0,2014,2520.288888888889
662,5.0,0.0,2015,2416.0714285714284
663,5.0,0.0,2016,2556.5
664,5.0,0.0,2017,2845.4883720930234
665,5.0,0.0,2018,2612.4848484848485
666,5.0,0.0,2019,2844.8285714285716
667,5.0,0.0,2020,2731.818181818182
668,5.0,0.0,2021,2693.597222222222
669,5.0,0.0,2022,2669.9886363636365
670,5.0,0.0,2023,2770.3333333333335
671,5.0,1.0,1992,2398.2608695652175
672,5.0,1.0,1993,2401.0072202166066
673,5.0,1.0,1994,2392.5760456273765
674,5.0,1.0,1995,2349.134020618557
675,5.0,1.0,1996,2373.6875
676,5.0,1.0,1997,2393.6666666666665
677,5.0,1.0,1998,2348.767441860465
678,5.0,1.0,1999,2365.8
679,5.0,1.0,2000,2319.364864864865
680,5.0,1.0,2001,2337.858974358974
681,5.0,1.0,2002,2327.134328358209
682,5.0,1.0,2003,2283.741176470588
683,5.0,1.0,2004,2277.980198019802
684,5.0,1.0,2005,2292.5285714285715
